stars,drink,coffe,coffee,tea,cocoa,spices,soda,water,juice,beer,cider,wine,spirits,fruit,citrus,melons,oranges,tangerines,grapefruit,lemons,limes,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloup,cherries,cranberries,dates,figs,grapes,honeydew,kiwi,mangoes,olives,papayas,peaches,pears,pineapple,raspberries,strawberries,watermelon,berries,nectarines,meat,beaf,veal,pork,lamb,mutton,chicken,milk,cream,cheese,eggs,nuts,peanuts,almonds,walnuts,hazelnuts,pecans,oil,butter,lard,margarine,shortening,vegetables,artichokes,beets,broccoli,cabbage,carrots,cauliflower,celery,cucumbers,eggplant,escarole,garlic,kale,mushrooms,okra,onions,potatoes,pumpkin,radishes,spinach,squash,tomatoes,,
1,17351,33,7035,5350,29,603,2210,14228,1675,8547,96,5383,60,1476,95,10,58,0,71,177,137,134,6,119,179,14,83,2,37,45,172,21,81,22,28,10,637,2,54,35,555,30,301,156,105,2,14815,0,639,5971,1578,42,33810,1513,5052,18000,5002,398,279,45,84,15,69,3146,2696,124,67,17,2331,94,122,1287,684,704,222,329,220,662,1,3179,252,1689,135,2651,4057,181,25,1153,242,1948,,0.106491358
2,16852,24,8617,6865,78,928,2054,12022,1920,12132,194,7943,61,2068,244,24,100,3,138,145,112,282,22,184,326,20,134,2,85,82,264,43,113,48,50,17,913,1,73,71,879,51,467,258,198,0,18341,0,903,10061,2658,38,38905,1849,6893,23891,6061,449,428,138,150,27,96,3814,3895,152,55,15,2906,131,263,1513,1009,883,377,438,248,1074,19,4654,510,2378,244,3381,5828,353,39,2179,478,2403,,0.098553459
3,21486,23,13496,11409,142,1540,2729,11698,2978,20359,452,12427,164,3532,544,43,163,3,310,133,151,503,39,172,680,44,267,3,177,167,670,120,216,102,106,40,1426,3,103,130,1747,119,922,604,433,0,25781,1,1426,18832,4920,84,59492,3450,13002,36099,9229,871,655,284,339,63,237,4551,6466,178,50,12,3888,278,497,2146,1617,1392,763,560,477,1993,23,8341,921,4223,414,5497,9065,884,121,3830,945,3530,,0.145960337
4,33284,67,27289,21187,308,3390,4299,14424,5457,39169,1143,26906,405,7037,1236,67,301,11,663,204,302,1148,98,345,1498,118,542,8,324,375,1678,378,455,155,254,120,3192,5,230,301,4110,268,1947,1356,839,4,42690,8,2769,37650,10895,182,108941,6126,25721,68288,16992,1839,1279,692,825,168,564,7170,13314,238,43,14,7075,611,1210,3639,3069,2434,1692,944,1000,4591,50,17884,2118,8511,838,11003,16680,2187,250,7672,2329,6614,,0.286863052
5,28079,81,31033,19779,373,3324,3338,11787,5613,32616,893,31379,448,6586,1298,31,326,7,742,192,293,1161,101,341,1612,137,589,1,382,365,1989,396,379,133,261,84,2807,3,255,313,4060,240,1981,1636,1021,9,38902,8,3279,34364,11381,145,100740,6097,26069,62965,14734,1762,907,684,717,179,559,5942,13990,221,15,16,6040,573,1221,2896,2584,1984,1988,751,857,4064,73,17441,2536,7510,843,8575,15575,2507,256,7198,2378,5784,,0.362131793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162933.9569,309.8853424,66061.92073,50238.98733,272.3234827,5662.450348,20752.92748,133607.5349,15729.02874,80260.30369,901.4846325,50548.87267,563.4278953,13860.32622,892.0941676,93.90464922,544.6469655,0,666.7230095,1662.112291,1286.493694,1258.3223,56.34278953,1117.465326,1680.893221,131.4665089,779.4085885,18.78092984,347.4472021,422.5709215,1615.159967,197.1997634,760.6276587,206.5902283,262.9330178,93.90464922,5981.726155,18.78092984,507.0851058,328.6662723,5211.708032,281.7139477,2826.529941,1464.912528,985.9988168,18.78092984,139119.7378,0,6000.507085,56070.46605,14818.15365,394.3995267,317491.619,14207.77343,47440.62879,169028.3686,46971.10554,3737.405039,2619.939713,422.5709215,788.7990534,140.8569738,647.9420796,29542.40264,25316.69343,1164.41765,629.1611498,159.6379037,21889.17373,882.7037027,1145.63672,12085.52835,6423.078007,6610.887305,2084.683213,3089.462959,2065.902283,6216.487778,9.390464922,29852.28799,2366.39716,15860.49525,1267.712764,24894.12251,38097.11619,1699.674151,234.761623,10827.20605,2272.492511,18292.62567,,
,170994.2873,243.5237892,87435.18716,69657.95054,791.452315,9416.253184,20841.57763,121985.1248,19481.90314,123101.2755,1968.483963,80596.22741,618.9562976,20983.63317,2475.825191,243.5237892,1014.682455,30.44047365,1400.261788,1471.28956,1136.44435,2861.404523,223.2301401,1867.015717,3307.864804,202.936491,1359.67449,20.2936491,862.4800869,832.0396132,2678.761682,436.3134557,1146.591174,487.0475785,507.3412276,172.4960174,9264.050815,10.14682455,740.7181922,720.4245431,8919.058781,517.4880521,4738.567065,2617.880734,2009.071261,0,186102.9091,0,9162.58257,102087.2018,26970.25966,385.5793329,394762.2092,18761.4786,69942.06163,242417.7854,61499.90361,4555.924224,4342.840908,1400.261788,1522.023683,273.9642629,974.0951569,38699.98884,39521.88163,1542.317332,558.0753503,152.2023683,29486.67215,1329.234016,2668.614857,15352.14555,10238.14597,8959.646079,3825.352856,4444.309153,2516.412489,10897.68957,192.7896665,47223.32146,5174.880521,24129.14878,2475.825191,34306.41381,59135.69348,3581.829067,395.7261575,22109.9307,4850.182136,24382.8194,,
,147204.7136,157.5774185,92463.68868,78165.25075,972.8692793,10550.83585,18696.90326,80145.24527,20402.8501,139483.4201,3096.738833,85139.76432,1123.595506,24198.41052,3727.048506,294.6012606,1116.744314,20.55357632,2123.869553,911.2085503,1034.530008,3446.14963,267.1964922,1178.405042,4658.810633,301.4524527,1829.268293,20.55357632,1212.661003,1144.149082,4590.298712,822.1430529,1479.857495,698.821595,726.2263634,274.0476843,9769.799945,20.55357632,705.6727871,890.654974,11969.03261,815.2918608,6316.799123,4138.120033,2966.566183,0,176630.5837,6.851192107,9769.799945,129021.6498,33707.86517,575.500137,407591.1209,23636.61277,89079.19978,247321.1839,63229.65196,5967.388326,4487.53083,1945.738559,2322.554124,431.6251028,1623.732529,31179.77528,44299.80817,1219.512195,342.5596054,82.21430529,26637.43491,1904.631406,3405.042477,14702.65826,11078.37764,9536.859414,5227.459578,3836.66758,3268.018635,13654.42587,157.5774185,57145.79337,6309.947931,28932.58427,2836.393532,37661.00301,62106.05645,6056.453823,828.994245,26240.06577,6474.376542,24184.70814,,
,116027.5114,233.5609681,95129.03372,73857.5557,1073.683256,11817.48779,14986.24779,50281.84185,19023.01796,136542.5308,3984.480397,93793.90162,1411.823763,24530.87362,4308.676964,233.5609681,1049.281364,38.34583059,2311.207789,711.1408582,1052.767349,4001.91032,341.6264907,1202.664687,5222.004929,411.3461827,1889.403653,27.88787679,1129.45901,1307.244225,5849.482157,1317.702178,1586.122993,540.3276128,885.4400881,418.3181519,11127.26284,17.42992299,801.7764578,1049.281364,14327.3967,934.2438725,6787.212014,4726.995116,2924.741078,13.9439384,148816.6825,27.88787679,9652.691354,131247.3201,37979.80221,634.449197,379766.6482,21355.14165,89663.00987,238050.9163,59233.8503,6410.725677,4458.574302,2412.301342,2875.937294,585.6454126,1966.095314,24994.50957,46412.39895,829.6643345,149.8973378,48.80378438,24663.34104,2129.93659,4218.041365,12685.49796,10698.48673,8484.886514,5898.285941,3290.769461,3485.984599,16004.15529,174.2992299,62343.34857,7383.315381,29669.21492,2921.255094,38356.28854,58146.22311,7623.848318,871.4961497,26744.47384,8118.858131,23056.30214,,
,77538.02481,223.6753449,85695.27134,54618.20552,1030.011156,9178.973413,9217.633349,32548.90482,15499.87297,90066.60555,2465.951642,86650.72405,1237.117957,18186.73854,3584.328366,85.60414435,900.2242276,19.32996808,2048.976616,530.1934101,809.0972353,3206.013277,278.9038251,941.6455878,4451.415506,378.3150895,1626.478743,2.761424011,1054.863972,1007.919764,5492.472358,1093.523908,1046.5797,367.2693935,720.7316669,231.9596169,7751.317199,8.284272033,704.1631228,864.3257155,11211.38149,662.7417627,5470.380966,4517.689682,2819.413915,24.8528161,107424.9169,22.09139209,9054.709333,94893.57472,31427.76667,400.4064816,278185.8549,16836.4022,71987.56255,173873.0629,40686.82138,4865.629108,2504.611578,1888.814024,1979.941016,494.294898,1543.636022,16408.38147,38632.32192,610.2747065,41.42136017,44.18278418,16679.00103,1582.295958,3371.698718,7997.083936,7135.519645,5478.665238,5489.710934,2073.829432,2366.540378,11222.42718,201.5839528,48161.99618,7002.971292,20738.29432,2327.880441,23679.2109,43009.17897,6922.889996,706.9245469,19876.73003,6566.666298,15972.07648,,
